text,label
Até na próxima!,0
Problema de performance no homologação,1
Problema de performance no homologação,1
Prazo para documentação é sexta-feira,1
Pensando em sua família,0
Status do projeto refatoração?,1
Foi um prazer participar,0
Necessário rollback da versão stable,1
Pensando em seus projetos,0
Ticket #67890 precisa ser priorizado,1
Solicito mobile para resolver problema crítico,1
Erro timeout acontecendo,1
Espero que esteja tranquilo,0
Boa tarde! Como você está?,0
Solicito mobile para resolver bug,1
Espero que seja um sucesso,0
Espero que esteja descansado,0
Obrigado pela apoio,0
Muito obrigado por lembrar!,0
Agradeço pela gentileza,0
Desejo tudo de ótimo para você,0
Que bom saber que está tudo bem!,0
Lembranças de a reunião,0
Acesso negado ao API,1
Reunião sobre performance às 15h,1
Fico feliz em poder ajudar,0
Status do projeto deploy?,1
Tenha um excelente dia!,0
Que alegria receber sua mensagem!,0
Parabéns pelo promoção!,0
Pensando em seu trabalho,0
Obrigado pela dica,0
Bug reportado pelo cliente: problema crítico,1
Status do projeto refatoração?,1
Solicito banco de dados para resolver crash,1
Bug reportado pelo cliente: problema crítico,1
Desejo tudo de maravilhoso para você,0
Necessário rollback da versão stable,1
Foi um prazer conhecê-lo,0
Erro 502 acontecendo,1
Fico feliz em conhecê-lo,0
Bug reportado pelo cliente: erro,1
Lembranças de o evento,0
Muito obrigado por pensar em mim!,0
Que felicidade receber sua mensagem!,0
Desejo tudo de melhor para você,0
Prazo para review é sexta-feira,1
Abraços e paz!,0
Preciso de suporte para instalação,1
Foi um prazer colaborar,0
Que alegria pela conquista!,0
Monitoramento detectou alto uso de CPU,1
Ticket #22222 precisa ser priorizado,1
Problema de performance no staging,1
Abraços e sucesso!,0
Desejo um ótimo mês!,0
Parabéns pelo promoção!,0
Até breve!,0
Falha na integração com CDN,1
Tenha um ótima semana!,0
Necessário rollback da versão stable,1
Reunião sobre performance às 14h,1
Ticket #22222 precisa ser priorizado,1
Desculpe pelo inconveniente,0
Atualização necessária no pagamento,1
Agradeço pela atenção,0
Configuração de Docker não está funcionando,1
Acesso negado ao database,1
Backup do frontend falhou,1
Espero que corra tudo bem,0
Ticket #11111 precisa ser priorizado,1
Necessário rollback da versão latest,1
Solicito database para resolver inconsistência,1
Foi um prazer participar,0
Desejo um ótimo mês!,0
Desejo tudo de excelente para você,0
Meus parabéns pela conquista!,0
Abraços e bons votos!,0
Meus parabéns pela conquista!,0
Falha na integração com CDN,1
Espero que melhore logo,0
Espero que esteja com saúde,0
Espero que seja um sucesso,0
Estou com crash no sistema login,1
Muito obrigado por apoiar!,0
Solicito banco de dados para resolver falha,1
Abraços e bons votos!,0
Acesso negado ao pagamento,1
Que honra receber sua mensagem!,0
Que bom saber que foi resolvido!,0
Falha na integração com CDN,1
Prazo para documentação é fim do sprint,1
Status do projeto deploy?,1
Configuração de Kubernetes não está funcionando,1
Espero que esteja ótimo,0
Atualização necessária no autenticação,1
Atualização necessária no autenticação,1
Erro 404 acontecendo,1
Estou com bug no sistema database,1
Pensando em seus projetos,0
Reunião sobre planejamento às 16h30,1
Estou com inconsistência no sistema frontend,1
Tenha um ótima semana!,0
Configuração de Kubernetes não está funcionando,1
Configuração de Docker não está funcionando,1
Prazo para deploy é hoje,1
Ticket #11111 precisa ser priorizado,1
Que bom saber que foi resolvido!,0
Muito obrigado por orientar!,0
Espero que melhore logo,0
Preciso de suporte para permissão de acesso,1
Felicitações pela conquista!,0
Meus parabéns pela conquista!,0
Que alegria pela conquista!,0
Espero que dê certo,0
Desejo um ótimo férias!,0
Reunião sobre planejamento às 15h,1
Abraços e paz!,0
Que alegria pela conquista!,0
Que alegria receber sua mensagem!,0
Espero que corra tudo bem,0
Ticket #11111 precisa ser priorizado,1
Que prazer receber sua mensagem!,0
Falha na integração com analytics,1
Problema de performance no produção,1
Espero que dê certo,0
Necessário rollback da versão stable,1
Status do projeto migração?,1
Backup do mobile falhou,1
Obrigado pela dica,0
Espero que esteja feliz,0
Tenha um excelente dia!,0
Falha na integração com API de pagamento,1
Pensando em sua saúde,0
Preciso de suporte para permissão de acesso,1
Foi um prazer conversar,0
Acesso negado ao frontend,1
Desejo tudo de maravilhoso para você,0
Foi um prazer colaborar,0
Monitoramento detectou conexões ociosas,1
Backup do banco de dados falhou,1
Espero que esteja ótimo,0
Foi um prazer conversar,0
Reunião sobre arquitetura às 16h30,1
Bug reportado pelo cliente: inconsistência,1
Foi um prazer conhecê-lo,0
Acesso negado ao servidor,1
Desejo tudo de maravilhoso para você,0
Erro null_pointer acontecendo,1
Felicitações pela conquista!,0
Backup do servidor falhou,1
Necessário rollback da versão stable,1
Bom dia! Como você está?,0
Estou com timeout no sistema servidor,1
Backup do backend falhou,1
Parabéns pelo promoção!,0
Prazo para documentação é sexta-feira,1
Atualização necessária no relatórios,1
Monitoramento detectou memory leak,1
Até logo!,0
Bug reportado pelo cliente: falha,1
Estou com falha no sistema login,1
Fico feliz em poder ajudar,0
Parabéns pela conquista!,0
Configuração de Docker não está funcionando,1
Ticket #22222 precisa ser priorizado,1
Espero que esteja ótimo,0
Status do projeto migração?,1
Boa tarde! Como você está?,0
Acesso negado ao frontend,1
Preciso de suporte para migração,1
Foi um prazer colaborar,0
Muito obrigado por orientar!,0
Monitoramento detectou memory leak,1
Que satisfação receber sua mensagem!,0
Lembranças de a reunião,0
Pensando em sua saúde,0
Ticket #12345 precisa ser priorizado,1
Desejo um ótimo dia!,0
Muito obrigado por colaborar!,0
Reunião sobre retrospectiva às 16h30,1
Muito obrigado por colaborar!,0
Monitoramento detectou alto uso de CPU,1
Reunião sobre segurança às 16h30,1
Atualização necessária no dashboard,1
Desculpe pelo atraso,0
Status do projeto deploy?,1
Felicitações pela conquista!,0
Falha na integração com serviço de email,1
Acesso negado ao servidor,1
Acesso negado ao frontend,1
Monitoramento detectou alto uso de CPU,1
Espero que esteja ótimo,0
Bug reportado pelo cliente: erro,1
Que alegria pela conquista!,0
Foi um prazer conversar,0
Preciso de suporte para migração,1
Ticket #11111 precisa ser priorizado,1
Reunião sobre daily às 15h,1
Fico feliz em conhecê-lo,0
Espero que esteja feliz,0
Monitoramento detectou alto uso de CPU,1
Erro 500 acontecendo,1
Que satisfação receber sua mensagem!,0
Muito obrigado por orientar!,0
O pagamento apresentou falha crítica,1
Tenha um ótima semana!,0
Que satisfação receber sua mensagem!,0
Espero que melhore logo,0
Desejo tudo de melhor para você,0
Fico feliz em trabalhar juntos,0
Desculpe pelo atraso,0
Desculpe pelo mal-entendido,0
Que alegria receber sua mensagem!,0
Desejo tudo de maravilhoso para você,0
Pensando em seu trabalho,0
Obrigado pela dica,0
Que bom saber que deu certo!,0
Lembranças de o evento,0
Desejo tudo de melhor para você,0
Obrigado pela ajuda,0
Desejo um ótimo mês!,0
Espero que melhore logo,0
Desejo tudo de bom para você,0
Solicito login para resolver falha,1
Espero que esteja descansado,0
Falha na integração com analytics,1
Pensando em sua saúde,0
Lembranças de nossa conversa,0
Que prazer receber sua mensagem!,0
Backup do login falhou,1
Espero que corra tudo bem,0
Backup do frontend falhou,1
Muito obrigado por lembrar!,0
Preciso de suporte para migração,1
E aí! Como você está?,0
Monitoramento detectou latência alta,1
Pensando em você,0
Lembranças de o evento,0
Preciso de suporte para configuração,1
O backend apresentou falha crítica,1
Ticket #67890 precisa ser priorizado,1
Estou com bug no sistema backend,1
Preciso de suporte para permissão de acesso,1
Estou com bug no sistema mobile,1
Pensando em sua família,0
Parabéns pelo promoção!,0
Que bom saber que está tudo bem!,0
Configuração de PostgreSQL não está funcionando,1
Que bom saber que melhorou!,0
Acesso negado ao servidor,1
Espero que corra tudo bem,0
Foi um prazer conversar,0
Foi um prazer trabalhar juntos,0
Felicitações pela conquista!,0
Agradeço pela gentileza,0
Status do projeto novo sistema?,1
Falha na integração com API de pagamento,1
Estou com crash no sistema database,1
Parabéns pelo aniversário!,0
Backup do backend falhou,1
Monitoramento detectou conexões ociosas,1
Reunião sobre arquitetura às 14h,1
Tenha um ótima semana!,0
Atualização necessária no autenticação,1
Configuração de Docker não está funcionando,1
Backup do aplicação falhou,1
Desculpe pelo atraso,0
Agradeço pela atenção,0
Espero que esteja ótimo,0
Configuração de Redis não está funcionando,1
Desejo um ótimo final de semana!,0
Desculpe pelo transtorno,0
Reunião sobre arquitetura às 10h,1
Atualização necessária no pagamento,1
Solicito aplicação para resolver bug,1
Fico feliz em poder ajudar,0
Falha na integração com analytics,1
Parabéns pelo aniversário!,0
Agradeço pela paciência,0
Bug reportado pelo cliente: travamento,1
Status do projeto atualização?,1
Configuração de Nginx não está funcionando,1
O frontend apresentou falha crítica,1
Status do projeto release?,1
Acesso negado ao mobile,1
Tenha um sucesso!,0
Falha na integração com CDN,1
Solicito pagamento para resolver erro,1
Configuração de Kubernetes não está funcionando,1
Até mais tarde!,0
Parabéns pelo promoção!,0
Erro 403 acontecendo,1
Espero que seja um sucesso,0
Que alegria pela conquista!,0
Obrigado pela suporte,0
Muito obrigado por apoiar!,0
Abraços e sucesso!,0
Solicito servidor para resolver erro,1
Monitoramento detectou alto uso de CPU,1
Abraços e sucesso!,0
Foi um prazer participar,0
Prazo para implementação é amanhã,1
Atualização necessária no dashboard,1
Até breve!,0
Parabéns pela conquista!,0
Fico feliz em saber disso,0
Bom dia! Como você está?,0
Fico feliz em conhecê-lo,0
Pensando em seu trabalho,0
O servidor apresentou falha crítica,1
Ticket #12345 precisa ser priorizado,1
Status do projeto refatoração?,1
Bug reportado pelo cliente: bug,1
O frontend apresentou falha crítica,1
Tenha um bom final de semana!,0
Espero que dê certo,0
Tenha um excelente dia!,0
Fico feliz em saber disso,0
Erro 500 acontecendo,1
Espero que dê certo,0
Solicito API para resolver erro,1
Configuração de Nginx não está funcionando,1
Lembranças de nossa conversa,0
Acesso negado ao frontend,1
Pensando em seus projetos,0
Fico feliz em poder ajudar,0
Status do projeto atualização?,1
Muito obrigado por pensar em mim!,0
Atualização necessária no dashboard,1
Solicito servidor para resolver crash,1
Que alegria pela conquista!,0
Espero que esteja feliz,0
Muito obrigado por pensar em mim!,0
Backup do banco de dados falhou,1
Preciso de suporte para migração,1
Bug reportado pelo cliente: timeout,1
Status do projeto refatoração?,1
Configuração de Docker não está funcionando,1
Que bom saber que melhorou!,0
Bom dia! Como você está?,0
Backup do banco de dados falhou,1
Solicito servidor para resolver inconsistência,1
Pensando em você,0
Agradeço pela paciência,0
Até em breve!,0
O backend apresentou falha crítica,1
Monitoramento detectou memory leak,1
Pensando em seus projetos,0
Fico feliz em saber disso,0
Pensando em sua saúde,0
Backup do servidor falhou,1
Configuração de Docker não está funcionando,1
Ticket #12345 precisa ser priorizado,1
Preciso de suporte para configuração,1
Problema de performance no staging,1
Espero que dê certo,0
Reunião sobre segurança às 10h,1
Monitoramento detectou latência alta,1
Falha na integração com serviço de email,1
Erro 403 acontecendo,1
Espero que melhore logo,0
Espero que dê certo,0
Estou com bug no sistema mobile,1
Muito obrigado por lembrar!,0
Preciso de suporte para migração,1
Até em breve!,0
O API apresentou falha crítica,1
Foi um prazer conversar,0
Falha na integração com serviço de email,1
Necessário rollback da versão latest,1
Que felicidade receber sua mensagem!,0
Solicito aplicação para resolver erro,1
Muito obrigado por apoiar!,0
Bug reportado pelo cliente: problema crítico,1
Fico feliz em trabalhar juntos,0
Espero que dê certo,0
Abraços e felicidade!,0
Lembranças de nossa conversa,0
Que prazer receber sua mensagem!,0
Que bom saber que foi resolvido!,0
Parabéns pelo casamento!,0
Status do projeto deploy?,1
Felicitações pela conquista!,0
Desculpe pelo atraso,0
Solicito servidor para resolver falha,1
Pensando em seus projetos,0
Erro 502 acontecendo,1
Tenha um sucesso!,0
Problema de performance no homologação,1
Obrigado pela apoio,0
Acesso negado ao API,1
Problema de performance no homologação,1
Bug reportado pelo cliente: problema crítico,1
Espero que esteja feliz,0
Pensando em seu trabalho,0
Espero que seja um sucesso,0
Reunião sobre daily às 9h,1
Reunião sobre segurança às 15h,1
Que satisfação receber sua mensagem!,0
Tenha um bom final de semana!,0
Configuração de Nginx não está funcionando,1
Abraços e muito carinho!,0
Que bom saber que melhorou!,0
Lembranças de o evento,0
Bug reportado pelo cliente: bug,1
Problema de performance no desenvolvimento,1
Configuração de PostgreSQL não está funcionando,1
Ticket #67890 precisa ser priorizado,1
Prazo para homologação é hoje,1
Necessário rollback da versão latest,1
Que satisfação receber sua mensagem!,0
Obrigado pela suporte,0
Monitoramento detectou alto uso de CPU,1
Espero que seja um sucesso,0
Configuração de Redis não está funcionando,1
Espero que seja um sucesso,0
Falha na integração com serviço de email,1
Foi um prazer trabalhar juntos,0
Que bom saber que está tudo bem!,0
Pensando em você,0
Solicito mobile para resolver problema crítico,1
Foi um prazer conhecê-lo,0
Lembranças de nosso projeto,0
Estou com erro no sistema login,1
Configuração de Redis não está funcionando,1
Muito obrigado por ajudar!,0
Necessário rollback da versão stable,1
Problema de performance no homologação,1
Prazo para review é hoje,1
Que felicidade receber sua mensagem!,0
Pensando em você,0
Que bom saber que melhorou!,0
Falha na integração com API de pagamento,1
Preciso de suporte para migração,1
Pensando em seus projetos,0
Prazo para review é fim do sprint,1
Necessário rollback da versão latest,1
Estou com falha no sistema login,1
Espero que dê certo,0
O mobile apresentou falha crítica,1
Status do projeto deploy?,1
Falha na integração com serviço de email,1
Necessário rollback da versão latest,1
Preciso de suporte para migração,1
Reunião sobre retrospectiva às 9h,1
Desejo um ótimo feriado!,0
Olá! Como você está?,0
Abraços e sucesso!,0
Status do projeto refatoração?,1
Ticket #11111 precisa ser priorizado,1
Backup do servidor falhou,1
Bug reportado pelo cliente: problema crítico,1
Felicitações pela conquista!,0
Espero que seja um sucesso,0
Problema de performance no desenvolvimento,1
Desejo um ótimo mês!,0
Reunião sobre arquitetura às 15h,1
Que prazer receber sua mensagem!,0
Espero que corra tudo bem,0
Atualização necessária no pagamento,1
Obrigado pela suporte,0
Tenha um ótima semana!,0
Falha na integração com API de pagamento,1
Estou com erro no sistema pagamento,1
Falha na integração com analytics,1
Configuração de Redis não está funcionando,1
O mobile apresentou falha crítica,1
Muito obrigado por lembrar!,0
Desculpe pelo inconveniente,0
Agradeço pela educação,0
Problema de performance no desenvolvimento,1
Erro null_pointer acontecendo,1
Acesso negado ao login,1
Problema de performance no produção,1
Monitoramento detectou conexões ociosas,1
Desculpe pelo atraso,0
Até logo!,0
Atualização necessária no autenticação,1
Atualização necessária no pagamento,1
O servidor apresentou falha crítica,1
Estou com falha no sistema mobile,1
Ticket #67890 precisa ser priorizado,1
Até logo!,0
Backup do backend falhou,1
Agradeço pela gentileza,0
Que honra receber sua mensagem!,0
Configuração de Kubernetes não está funcionando,1
Oi! Como você está?,0
Que alegria receber sua mensagem!,0
Necessário rollback da versão latest,1
Felicitações pela conquista!,0
Fico feliz em conhecê-lo,0
Monitoramento detectou alto uso de CPU,1
Espero que esteja tranquilo,0
Desculpe pelo transtorno,0
Desejo tudo de bom para você,0
Problema de performance no staging,1
Foi um prazer conhecê-lo,0
Atualização necessária no relatórios,1
Falha na integração com serviço de email,1
O pagamento apresentou falha crítica,1
Solicito mobile para resolver erro,1
O login apresentou falha crítica,1
Desejo um ótimo semana!,0
Parabéns pelo formatura!,0
Obrigado pela orientação,0
Pensando em você,0
Muito obrigado por lembrar!,0
Prazo para implementação é fim do sprint,1
Desejo um ótimo dia!,0
Monitoramento detectou memory leak,1
Foi um prazer trabalhar juntos,0
Até mais tarde!,0
Que bom saber que está tudo bem!,0
Lembranças de a reunião,0
Espero que esteja tranquilo,0
Oi! Como você está?,0
Falha na integração com CDN,1
Preciso de suporte para permissão de acesso,1
Espero que esteja bem,0
Monitoramento detectou conexões ociosas,1
Preciso de suporte para instalação,1
Até em breve!,0
Problema de performance no produção,1
Tenha um boa sorte!,0
Até logo!,0
Tenha um ótima semana!,0
Muito obrigado por orientar!,0
Preciso de suporte para migração,1
Problema de performance no produção,1
Erro 404 acontecendo,1
Agradeço pela paciência,0
Espero que melhore logo,0
Agradeço pela educação,0
Atualização necessária no relatórios,1
Estou com erro no sistema database,1
Backup do login falhou,1
Reunião sobre performance às 10h,1
Monitoramento detectou latência alta,1
Obrigado pela apoio,0
Ticket #67890 precisa ser priorizado,1
Desejo um ótimo semana!,0
Configuração de PostgreSQL não está funcionando,1
Oi! Como você está?,0
Falha na integração com CDN,1
Espero que esteja ótimo,0
Até breve!,0
Desculpe pelo transtorno,0
Prazo para teste é hoje,1
Preciso de suporte para configuração,1
Necessário rollback da versão stable,1
Configuração de Docker não está funcionando,1
Espero que esteja com saúde,0
Foi um prazer conversar,0
Solicito mobile para resolver timeout,1
Backup do aplicação falhou,1
Falha na integração com API de pagamento,1
Tenha um bom final de semana!,0
Backup do database falhou,1
Agradeço pela gentileza,0
Desejo um ótimo semana!,0
Preciso de suporte para instalação,1
Parabéns pelo promoção!,0
Estou com inconsistência no sistema API,1
Monitoramento detectou memory leak,1
Desculpe pelo demora,0
Acesso negado ao banco de dados,1
Prazo para documentação é hoje,1
Tenha um boa sorte!,0
Obrigado pela dica,0
Boa tarde! Como você está?,0
Monitoramento detectou conexões ociosas,1
Tenha um boa sorte!,0
Espero que seja um sucesso,0
O API apresentou falha crítica,1
Bug reportado pelo cliente: lentidão,1
Pensando em seus projetos,0
Bug reportado pelo cliente: lentidão,1
Parabéns pela conquista!,0
Problema de performance no homologação,1
Abraços e felicidade!,0
Muito obrigado por orientar!,0
Falha na integração com analytics,1
Até em breve!,0
Ticket #12345 precisa ser priorizado,1
Fico feliz em saber disso,0
Desejo um ótimo dia!,0
Abraços e sucesso!,0
Abraços e felicidade!,0
Falha na integração com API de pagamento,1
Erro timeout acontecendo,1
Bug reportado pelo cliente: timeout,1
Atualização necessária no dashboard,1
Necessário rollback da versão v1.2.3,1
Tenha um bom final de semana!,0
Lembranças de a reunião,0
Falha na integração com analytics,1
Parabéns pelo aniversário!,0
Muito obrigado por apoiar!,0
Parabéns pelo aposentadoria!,0
Espero que esteja ótimo,0
Monitoramento detectou memory leak,1
Prazo para deploy é fim do sprint,1
Necessário rollback da versão latest,1
Que prazer receber sua mensagem!,0
Parabéns pelo novo emprego!,0
Backup do login falhou,1
Desculpe pelo demora,0
Boa noite! Como você está?,0
Backup do aplicação falhou,1
E aí! Como você está?,0
Configuração de PostgreSQL não está funcionando,1
Status do projeto migração?,1
Atualização necessária no autenticação,1
Status do projeto atualização?,1
Tenha um excelente dia!,0
Espero que esteja com saúde,0
Oi! Como você está?,0
Abraços e paz!,0
Muito obrigado por pensar em mim!,0
Agradeço pela atenção,0
Configuração de Nginx não está funcionando,1
Desejo tudo de bom para você,0
Fico feliz em poder ajudar,0
Preciso de suporte para instalação,1
Problema de performance no produção,1
Solicito servidor para resolver crash,1
Configuração de Docker não está funcionando,1
Ticket #22222 precisa ser priorizado,1
Ticket #12345 precisa ser priorizado,1
Desejo tudo de excelente para você,0
Acesso negado ao database,1
Lembranças de o evento,0
Backup do servidor falhou,1
Necessário rollback da versão stable,1
Ticket #67890 precisa ser priorizado,1
Parabéns pela conquista!,0
Espero que esteja com saúde,0
Falha na integração com serviço de email,1
Que honra receber sua mensagem!,0
Atualização necessária no pagamento,1
Configuração de PostgreSQL não está funcionando,1
Parabéns pelo aniversário!,0
Lembranças de nosso projeto,0
Até breve!,0
Muito obrigado por pensar em mim!,0
Meus parabéns pela conquista!,0
Que satisfação receber sua mensagem!,0
Até mais tarde!,0
E aí! Como você está?,0
Até logo!,0
Agradeço pela paciência,0
Preciso de suporte para restore,1
Que bom saber que foi resolvido!,0
Problema de performance no produção,1
Fico feliz em trabalhar juntos,0
Parabéns pela conquista!,0
Atualização necessária no dashboard,1
Monitoramento detectou memory leak,1
Necessário rollback da versão v2.0.1,1
Felicitações pela conquista!,0
Até na próxima!,0
Necessário rollback da versão latest,1
Configuração de Docker não está funcionando,1
Acesso negado ao backend,1
Necessário rollback da versão stable,1
Pensando em você,0
Acesso negado ao database,1
Ticket #67890 precisa ser priorizado,1
Parabéns pelo promoção!,0
